level,title,pdf_url,book_page
2,怠け者のフウアン,https://tadoku.org/japanese/wp-content/uploads/f0033e-namakemono-v3.pdf,https://tadoku.org/japanese/book/5451/
2,明日は遠足,https://tadoku.org/japanese/wp-content/uploads/f0043e-ashitahaensoku.pdf,https://tadoku.org/japanese/book/6069/
2,王様の耳はロバの耳,https://tadoku.org/japanese/wp-content/uploads/w0017e-oosamanomimi.pdf,https://tadoku.org/japanese/book/48618/
2,私の彼氏は油揚げが好き,https://tadoku.org/japanese/wp-content/uploads/f0106e-watasinokaresi.pdf,https://tadoku.org/japanese/book/43170/
2,赤い魚と子ども,https://tadoku.org/japanese/wp-content/uploads/w0019e-akaisakanatokodomo-v2.pdf,https://tadoku.org/japanese/book/64058/
2,鏡のない村,https://tadoku.org/japanese/wp-content/uploads/w0018e-kagaminonaimura-v2.pdf,https://tadoku.org/japanese/book/61371/
3,Nessy,https://tadoku.org/japanese/wp-content/uploads/f0059e-nessy-v2.pdf,https://tadoku.org/japanese/book/7029/
3,おばあのうちなーぐち 〜おきなわのことば〜,https://tadoku.org/japanese/wp-content/uploads/f0068e-obaanouchinaguchi-v2.pdf,https://tadoku.org/japanese/book/8025/
3,くるみもち,https://tadoku.org/japanese/wp-content/uploads/f0119e-kurumimoti.pdf,https://tadoku.org/japanese/book/52749/
3,しいたけ,https://tadoku.org/japanese/wp-content/uploads/f0074e-shiitake-v3.pdf,https://tadoku.org/japanese/book/8184/
3,ふしぎだな―ぼくが感じた不思議なこと,https://tadoku.org/japanese/wp-content/uploads/f0012e-fushigidana1-v3.pdf,https://tadoku.org/japanese/book/4160/
3,ふしぎだな―ぼくが感じた不思議なこと２,https://tadoku.org/japanese/wp-content/uploads/f0013e-fushigidana2-v2.pdf,https://tadoku.org/japanese/book/4161/
3,キツネ踊り ―姫島の子どもたちがキツネになる日―,https://tadoku.org/japanese/wp-content/uploads/f0004e-kitsuneodori-v2-1.pdf,https://tadoku.org/japanese/book/3146/
3,トマトを育てました,https://tadoku.org/japanese/wp-content/uploads/w0008e-tomato-v2.pdf,https://tadoku.org/japanese/book/39009/
3,フェリパ,https://tadoku.org/japanese/wp-content/uploads/f0038e-philippa-v3.pdf,https://tadoku.org/japanese/book/5594/
3,ポール・ジャクレー,https://tadoku.org/japanese/wp-content/uploads/f0091e-pauljacoulet-v2.pdf,https://tadoku.org/japanese/book/38887/
3,吉四六さんの話 〜「ババクロウ」という魚〜,https://tadoku.org/japanese/wp-content/uploads/f0070e-babakuro-v5.pdf,https://tadoku.org/japanese/book/8053/
3,天皇の誕生日,https://tadoku.org/japanese/wp-content/uploads/f0014e-tennotanjyoubi-v3.pdf,https://tadoku.org/japanese/book/4162/
3,弾丸をボールに,https://tadoku.org/japanese/wp-content/uploads/f0040e-danganwobaruni-v3.pdf,https://tadoku.org/japanese/book/5871/
3,徒然草,https://tadoku.org/japanese/wp-content/uploads/w0009e-tureduregusa_v6.pdf,https://tadoku.org/japanese/book/39177/
3,手ぶくろを買いに,https://tadoku.org/japanese/wp-content/uploads/f0075e-tebukuro-v4.pdf,https://tadoku.org/japanese/book/8325/
3,正直五兵衛,https://tadoku.org/japanese/wp-content/uploads/f0044e-shojikigohee-v2-1.pdf,https://tadoku.org/japanese/book/6071/
3,涙の力,https://tadoku.org/japanese/wp-content/uploads/f0037e-namidanochikara-v3.pdf,https://tadoku.org/japanese/book/5593/
3,温泉の町 別府,https://tadoku.org/japanese/wp-content/uploads/f0005e-onsennomatibeppu-v2.pdf,https://tadoku.org/japanese/book/3143/
3,温泉の科学,https://tadoku.org/japanese/wp-content/uploads/f0073e-onsennokagaku-v4.pdf,https://tadoku.org/japanese/book/8162/
3,湖山長者 ～ちょっとざんねんなお金持ちの話～,https://tadoku.org/japanese/wp-content/uploads/f0069e-koyamachoja-v4.pdf,https://tadoku.org/japanese/book/8026/
3,眠い町,https://tadoku.org/japanese/wp-content/uploads/f0118e-nemuimachi.pdf,https://tadoku.org/japanese/book/48397/
3,秋田の虫,https://tadoku.org/japanese/wp-content/uploads/f0095e-akitanomushi-v2.pdf,https://tadoku.org/japanese/book/41209/
3,稲むらの火,https://tadoku.org/japanese/wp-content/uploads/f0046e-inamuranohi-v2.pdf,https://tadoku.org/japanese/book/6072/
3,蛙,https://tadoku.org/japanese/wp-content/uploads/f0108e-kaeru.pdf,https://tadoku.org/japanese/book/43312/
3,野ばら,https://tadoku.org/japanese/wp-content/uploads/f0085e-nobara-v4.pdf,https://tadoku.org/japanese/book/9191/
3,飯田くん,https://tadoku.org/japanese/wp-content/uploads/f0015e-iidakun-v3.pdf,https://tadoku.org/japanese/book/4163/
3,黒コウモリと白コウモリ,https://tadoku.org/japanese/wp-content/uploads/f0096e-kurokoumori-v2.pdf,https://tadoku.org/japanese/book/40205/
4,アリババと40人の泥棒～アラビアン・ナイトより～,https://tadoku.org/japanese/wp-content/uploads/w0013e-alibaba-v3.pdf,https://tadoku.org/japanese/book/40468/
4,カラスとハリネズミ,https://tadoku.org/japanese/wp-content/uploads/f0016e-karasutoharinezumi-v2.pdf,https://tadoku.org/japanese/book/4164/
4,ポール・ジャクレー～軽井沢を愛したフランス人～［続編］,https://tadoku.org/japanese/wp-content/uploads/f0102e-pauljacoulet2-v2.pdf,https://tadoku.org/japanese/book/42360/
4,ロバの皮の女,https://tadoku.org/japanese/wp-content/uploads/f0111e-robanokawa.pdf,https://tadoku.org/japanese/book/44994/
4,別府観光の父 油屋熊八,https://tadoku.org/japanese/wp-content/uploads/f0006e-aburayakumahat-v2i.pdf,https://tadoku.org/japanese/book/3134/
4,少女とシロクマ,https://tadoku.org/japanese/wp-content/uploads/f0017e-syoujotoshirokuma-v4.pdf,https://tadoku.org/japanese/book/4165/
4,幽霊床屋,https://tadoku.org/japanese/wp-content/uploads/f0060e-yuureitokoya-v2.pdf,https://tadoku.org/japanese/book/7087/
4,張り紙にびっくり！,https://tadoku.org/japanese/wp-content/uploads/f0099e-harigami-v5.pdf,https://tadoku.org/japanese/book/40470/
4,日本のバレンタインデー,https://tadoku.org/japanese/wp-content/uploads/f0093e-valentine-v3.pdf,https://tadoku.org/japanese/book/38990/
4,私とハムスター,https://tadoku.org/japanese/wp-content/uploads/f0117e-hamster.pdf,https://tadoku.org/japanese/book/48396/
4,葉桜と口笛,https://tadoku.org/japanese/wp-content/uploads/w0011e-hazakura-v2.pdf,https://tadoku.org/japanese/book/39958/
5,まだらの紐,https://tadoku.org/japanese/wp-content/uploads/w0014e-madara-scaled-v2.pdf,https://tadoku.org/japanese/book/41615/
5,夢十夜,https://tadoku.org/japanese/wp-content/uploads/w0015e-yumejuuya.pdf,https://tadoku.org/japanese/book/42724/
5,美知子の星空,https://tadoku.org/japanese/wp-content/uploads/w0004e-michikonohoshizora-v2.pdf,https://tadoku.org/japanese/book/6238/
5,色の世界,https://tadoku.org/japanese/wp-content/uploads/f0113e-ironosekai.pdf,https://tadoku.org/japanese/book/47324/
